Timestamp,GroundTruth,AIDetected,InferTime,Confidence
1781215540.82399,False,False,0.064,0.00
1781215540.8335025,False,False,0.000,0.00
1781215540.8902903,False,False,0.000,0.00
1781215541.0545042,False,True,0.062,0.44
1781215541.122258,False,True,0.000,0.44
1781215541.2236528,False,True,0.000,0.44
1781215541.3075192,False,False,0.076,0.00
1781215541.3535836,False,False,0.000,0.00
1781215541.3640335,False,False,0.000,0.00
1781215541.4989345,False,False,0.067,0.00
1781215541.5067897,False,False,0.000,0.00
1781215541.8624377,False,False,0.000,0.00
1781215541.982429,False,False,0.069,0.00
1781215542.1914282,False,False,0.000,0.00
1781215542.2329185,False,False,0.000,0.00
1781215542.3414629,False,False,0.070,0.00
1781215542.3904226,False,False,0.000,0.00
1781215542.4903553,False,False,0.000,0.00
1781215542.6439557,False,False,0.070,0.00
1781215542.8646367,False,False,0.000,0.00
1781215542.8781383,False,False,0.000,0.00
1781215543.1533015,False,True,0.065,0.38
1781215543.161722,False,True,0.000,0.38
1781215543.2310152,False,True,0.000,0.38
1781215543.3379552,False,False,0.067,0.00
1781215543.3717816,False,False,0.000,0.00
1781215543.5626018,False,False,0.000,0.00
1781215543.648168,False,True,0.069,0.28
1781215543.702747,False,True,0.000,0.28
1781215543.8025863,False,True,0.000,0.28
1781215543.9283512,False,False,0.077,0.00
1781215543.9708507,False,False,0.000,0.00
1781215543.9811945,False,False,0.000,0.00
1781215544.1140733,False,False,0.063,0.00
1781215544.1976132,False,False,0.000,0.00
1781215544.2492816,False,False,0.000,0.00
1781215544.6891196,False,False,0.062,0.00
1781215544.733066,False,False,0.000,0.00
1781215544.7703452,False,False,0.000,0.00
1781215544.878436,False,False,0.068,0.00
1781215544.9073112,False,False,0.000,0.00
1781215544.9812613,False,False,0.000,0.00
1781215545.1247358,False,False,0.063,0.00
1781215545.3260264,False,False,0.000,0.00
1781215545.4648132,False,False,0.000,0.00
1781215545.5480154,False,False,0.073,0.00
1781215545.5898998,False,False,0.000,0.00
1781215545.6301079,False,False,0.000,0.00
1781215545.7407658,False,False,0.070,0.00
1781215545.8556285,False,False,0.000,0.00
1781215545.9627137,False,False,0.000,0.00
1781215546.041896,False,True,0.067,0.64
1781215546.2759252,False,True,0.000,0.64
1781215546.3348005,False,True,0.000,0.64
1781215546.419261,False,False,0.073,0.00
1781215546.4697793,False,False,0.000,0.00
1781215546.4811218,False,False,0.000,0.00
1781215546.644393,False,False,0.071,0.00
1781215546.825456,False,False,0.000,0.00
1781215547.0136461,False,False,0.000,0.00
1781215547.1394265,False,False,0.070,0.00
1781215547.1900198,False,False,0.000,0.00
1781215547.261512,False,False,0.000,0.00
1781215547.3764982,False,True,0.066,0.27
1781215547.4632728,False,True,0.000,0.27
1781215547.661617,False,True,0.000,0.27
1781215547.7430487,False,False,0.071,0.00
1781215547.789211,False,False,0.000,0.00
1781215547.829247,False,False,0.000,0.00
1781215547.9343655,False,False,0.064,0.00
1781215548.0592887,False,False,0.000,0.00
1781215548.109227,False,False,0.000,0.00
1781215550.7174947,False,False,0.065,0.00
1781215550.7212808,False,False,0.000,0.00
1781215551.0853543,False,False,0.000,0.00
1781215551.3640954,False,False,0.066,0.00
